Sr.No,Name,Ratings,Total_Reviews,,Company_Type,Locations,How_Old,Workforce
1,TCS,3.9,(45.6k Reviews),,Public,"Mumbai,Maharashtra + 257 more",54 years old,1 Lakh+ Employees (India)
2,Accenture,4.2,(29.8k Reviews),,Public,Dublin + 137 more,33 years old,1 Lakh+ Employees (India)
3,Cognizant,4,(27k Reviews),,Private,Teaneck. New Jersey. + 89 more,28 years old,1 Lakh+ Employees (India)
4,ICICI Bank,4,(34k Reviews),,Public,"Mumbai,Maharashtra + 1024 more",28 years old,50k-1 Lakh Employees (India)
5,Wipro,3.9,(25.5k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 261 more",77 years old,1 Lakh+ Employees (India)
6,HDFC Bank,4,(36.7k Reviews),,Public,"Mumbai,Maharashtra + 1165 more",28 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(22k Reviews),,Public,Paris + 75 more,55 years old,1 Lakh+ Employees (India)
8,HCL Technologies,3.9,(21.6k Reviews),,Public,"Noida,Uttar Pradesh + 163 more",46 years old,1 Lakh+ Employees (India)
9,Infosys,4,(25.8k Reviews),,Public,"Bengaluru/Bangalore,Karnataka + 120 more",41 years old,1 Lakh+ Employees (India)
10,Tech Mahindra,3.8,(19.9k Reviews),,Public,"Pune,Maharashtra + 198 more",36 years old,50k-1 Lakh Employees (India)
11,Genpact,4,(18k Reviews),,Public,"New York,New York + 62 more",25 years old,50k-1 Lakh Employees (India)
12,Axis Bank,3.9,(17.7k Reviews),,Public,"Mumbai,Maharashtra + 1025 more",29 years old,50k-1 Lakh Employees (India)
13,IBM,4.2,(14.8k Reviews),,Public,"Armonk,New York + 116 more",111 years old,50k-1 Lakh Employees (India)
14,Amazon,4.2,(14.9k Reviews),,Public,"Seattle,Washington + 335 more",28 years old,1 Lakh+ Employees (India)
15,Concentrix Corpo...,4.1,(14.3k Reviews),,Public,"Fremont,California + 66 more",39 years old,10k-50k Employees (India)
16,Larsen & Toubro ...,4.1,(20.1k Reviews),,Public,"Mumbai,Maharashtra + 515 more",84 years old,10k-50k Employees (India)
17,Reliance jio,4,(13.7k Reviews),,Public,"Navi Mumbai,Maharashtra + 933 more",15 years old,10k-50k Employees (India)
18,Vodafone Idea,4.3,(13.2k Reviews),,Public,"Gandhinagar,Gujrat + 556 more",4 years old,10k-50k Employees (India)
19,HDB Financial Se...,4,(12.4k Reviews),,Private,"Ahmedabad,Gujrat + 740 more",15 years old,1 Lakh+ Employees (India)
20,Teleperformance,3.6,(10.1k Reviews),,Private,Paris + 116 more,44 years old,50k-1 Lakh Employees (India)
21,Kotak Mahindra B...,3.9,(12.9k Reviews),,Public,"Mumbai,Maharashtra + 464 more",19 years old,10k-50k Employees (India)
22,Reliance Industr...,4.1,(39.3k Reviews),,Public,"Navi Mumbai,Maharashtra + 446 more",49 years old,1 Lakh+ Employees (India)
23,Bharti Airtel,4.1,(12.1k Reviews),,Public,"Gurgaon/Gurugram,Haryana + 481 more",27 years old,5k-10k Employees (India)
24,Deloitte,4.1,(8.7k Reviews),,Private,"New York,New York + 131 more",177 years old,10k-50k Employees (India)
25,Tata Motors,4.1,(8.5k Reviews),,Public,"Pune,Maharashtra + 380 more",77 years old,50k-1 Lakh Employees (India)
26,Reliance Retail,4.1,(13.5k Reviews),,Private,"Navi Mumbai,Maharashtra + 564 more",16 years old,1 Lakh+ Employees (India)
27,Mahindra & Mahin...,4.1,(19.9k Reviews),,Public,"Mumbai,Maharashtra + 397 more",77 years old,10k-50k Employees (India)
28,WNS,3.7,(6.5k Reviews),,Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India)
29,IndusInd Bank,3.8,(6.4k Reviews),,Public,"Gurgaon/Gurugram,Haryana + 541 more",28 years old,10k-50k Employees (India)
30,DXC Technology,3.9,(6.6k Reviews),,Public,"Minato,Tokyo + 56 more",31 years old,10k-50k Employees (India)
31,Hinduja Global S...,4,(5.8k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India)
32,Ernst & Young,3.8,(5.7k Reviews),,Private,London + 70 more,20 years old,50k-1 Lakh Employees (India)
33,Maruti Suzuki,4.1,(5.6k Reviews),,Public,"New Delhi,Delhi + 372 more",39 years old,10k-50k Employees (India)
34,Infosys BPM,4,(5.5k Reviews),,Private,"Bangalore/Bengaluru,Karnataka + 45 more",20 years old,10k-50k Employees (India)
35,Samsung,4,(8.6k Reviews),,Public,Seoul + 420 more,84 years old,50k-1 Lakh Employees (India)
36,BYJU'S,3.6,(9.7k Reviews),,Private,"Bangalore,Karnataka + 157 more",11 years old,1k-5k Employees (India)
37,HSBC,4.1,(5.7k Reviews),,Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
38,Ericsson,4.3,(5.2k Reviews),,Private,"Stockholm,Stockholm County + 129 more",146 years old,10k-50k Employees (India)
39,Bajaj Finserv,4.1,(12.9k Reviews),,Public,"Pune,Maharashtra + 635 more",15 years old,10k-50k Employees (India)
40,Conneqt Business...,3.8,(4.8k Reviews),,Private,"Mumbai,Maharashtra + 151 more",20 years old,10k-50k Employees (India)
41,IDFC FIRST Bank,4,(4.7k Reviews),,Public,"Mumbai,Maharashtra + 359 more",4 years old,10k-50k Employees (India)
42,Dr. Reddy's,4.2,(4.8k Reviews),,Public,"Hyderabad/Secunderabad,Telangana + 128 more",36 years old,10k-50k Employees (India)
43,Startek,3.5,(4.6k Reviews),,Public,"Mumbai,Maharashtra + 50 more",5 years old,5k-10k Employees (India)
44,Mphasis,3.8,(4.5k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 41 more",22 years old,1k-5k Employees (India)
45,Sutherland Globa...,3.9,(4.9k Reviews),,Private,"Pittsford,New York + 41 more",36 years old,10k-50k Employees (India)
46,Jana Small Finan...,3.9,(4.5k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 302 more",16 years old,10k-50k Employees (India)
47,Cipla Pharmaceut...,4.1,(4.5k Reviews),,Public,"Mumbai,Maharashtra + 184 more",87 years old,10k-50k Employees (India)
48,Yes Bank,4,(4.4k Reviews),,Public,"Mumbai,Maharashtra + 352 more",18 years old,10k-50k Employees (India)
49,ICICI Prudential...,4.1,(4.3k Reviews),,Public,"Mumbai,Maharashtra + 397 more",22 years old,10k-50k Employees (India)
50,Bajaj Allianz Li...,4.2,(4.4k Reviews),,Private,Pune + 425 more,21 years old,10k-50k Employees (India)
51,Asian Paints,4.3,(4.8k Reviews),,Public,"Mumbai,Maharashtra + 330 more",80 years old,10k-50k Employees (India)
52,NTT DATA,4.1,(8.1k Reviews),,Private,"Chiyoda City,Tokyo + 37 more",34 years old,10k-50k Employees (India)
53,Lupin,4.2,(4.2k Reviews),,Public,"Mumbai,Maharashtra + 127 more",54 years old,10k-50k Employees (India)
54,Zydus Cadila,4.1,(5.4k Reviews),,Public,"Ahmedabad, India + 134 more",70 years old,10k-50k Employees (India)
55,Udaan,4.2,(4k Reviews),,Private,"Bangalore,Karnataka + 295 more",6 years old,10k-50k Employees (India)
56,Indian Army,4.7,(4k Reviews),,Public,"New Delhi,Delhi + 263 more",127 years old,1 Lakh+ Employees (India)
57,EXL Service,3.9,(5k Reviews),,Private,"New York City,New York + 31 more",23 years old,10k-50k Employees (India)
58,HDFC Life,4.1,(4k Reviews),,Public,"Mumbai,Maharashtra + 393 more",22 years old,10k-50k Employees (India)
59,Home Credit Fina...,4.2,(3.9k Reviews),,Private,Gurugram + 101 more,10 years old,10k-50k Employees (India)
60,L&T Infotech,3.9,(3.7k Reviews),,Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
61,PwC,3.8,(3.7k Reviews),,Partnership,London + 58 more,24 years old,5k-10k Employees (India)
62,Bajaj Finance,4.2,(3.6k Reviews),,Private,"Pune,Maharashtra + 590 more",35 years old,10k-50k Employees (India)
63,Hindustan Unilev...,4.3,(5.8k Reviews),,Public,"Mumbai,Maharashtra + 342 more",89 years old,10k-50k Employees (India)
64,UltraTech Cement,4.3,(3.9k Reviews),,Public,"Mumbai,Maharashtra + 324 more",39 years old,10k-50k Employees (India)
65,ITC,3.9,(7.1k Reviews),,Public,"Kolkata,West Bengal + 219 more",47 years old,10k-50k Employees (India)
66,Ujjivan Small Fi...,4.1,(3.5k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 377 more",5 years old,10k-50k Employees (India)
67,Hewlett-Packard ...,4.3,(5k Reviews),,Private,"Houston,Texas + 86 more",83 years old,10k-50k Employees (India)
68,OPPO,4,(3.7k Reviews),,Public,"Dongguan,Guangdong + 307 more",18 years old,10k-50k Employees (India)
69,Paytm,3.8,(4.3k Reviews),,Public,Noida + 228 more,12 years old,10k-50k Employees (India)
70,Shapoorji Pallon...,4.3,(5.2k Reviews),,Private,"Mumbai,Maharashtra + 133 more",157 years old,5k-10k Employees (India)
71,IIFL,3.9,(3.4k Reviews),,Public,"Mumbai,Maharashtra + 446 more",27 years old,5k-10k Employees (India)
72,Mindtree,4.1,(3.4k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 24 more",23 years old,10k-50k Employees (India)
73,KPMG,3.8,(3.4k Reviews),,Partnership,New York + 49 more,35 years old,10k-50k Employees (India)
74,JP Morgan Chase,4.2,(3.4k Reviews),,Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
75,Shriram Transpor...,4.2,(5.2k Reviews),,Public,"Mumbai,Maharashtra + 644 more",43 years old,10k-50k Employees (India)
76,Ashok Leyland,4.1,(4k Reviews),,Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India)
77,Mahindra & Mahin...,4.3,(3.3k Reviews),,Public,"Mumbai,Maharashtra + 548 more",31 years old,10k-50k Employees (India)
78,Sun Pharmaceutic...,4.1,(3.8k Reviews),,Public,Mumbai + 141 more,39 years old,10k-50k Employees (India)
79,Intelenet Global...,3.7,(3.3k Reviews),,Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
80,Aurobindo Pharma,4.1,(3.5k Reviews),,Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,1k-5k Employees (India)
81,Vivo,4.1,(3.2k Reviews),,Private,"Gurgaon/Gurugram,Haryana + 322 more",13 years old,5k-10k Employees (India)
82,Apollo Hospitals,4.1,(5.1k Reviews),,Public,"San Francisco,California + 163 more",39 years old,50k-1 Lakh Employees (India)
83,Reliance Communi...,4,(3.6k Reviews),,Public,"Navi Mumbai,Maharashtra + 363 more",20 years old,10k-50k Employees (India)
84,Fidelity Nationa...,4.1,(3.3k Reviews),,Private,"Jacksonville,Florida + 32 more",17 years old,10k-50k Employees (India)
85,Wells Fargo Indi...,4.3,(3.2k Reviews),,Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
86,Future Group,4.2,(10.6k Reviews),,Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
87,Siemens,4.2,(3.2k Reviews),,Public,"Munich,Bavaria + 104 more",30 years old,10k-50k Employees (India)
88,Nokia,4.4,(3.2k Reviews),,Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India)
89,Bandhan Bank,3.9,(3.3k Reviews),,Public,"Kolkata,West Bengal + 506 more",21 years old,10k-50k Employees (India)
90,eClerx,3.7,(3k Reviews),,Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
91,Delhivery,4.2,(3k Reviews),,Private,"Delhi,NCT + 439 more",11 years old,10k-50k Employees (India)
92,Max Life Insuran...,4.2,(3k Reviews),,JV,"Gurgaon/Gurugram,Haryana + 273 more",22 years old,10k-50k Employees (India)
93,Wipro BPS,3.8,(2.9k Reviews),,,Bengaluru + 38 more,22 years old,1 Lakh+ Employees (India)
94,AU Small Finance...,4.1,(3.9k Reviews),,Private,"Jaipur,Rajasthan + 282 more",26 years old,10k-50k Employees (India)
95,TVS Motor,4.1,(3.1k Reviews),,Public,"Chennai,Tamil Nadu + 232 more",43 years old,5k-10k Employees (India)
96,Cyient,3.7,(2.9k Reviews),,Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
97,Tata Projects,4.2,(2.9k Reviews),,Public,"Mumbai,Maharashtra + 191 more",43 years old,5k-10k Employees (India)
98,First Source,3.9,(2.9k Reviews),,Public,"Mumbai,Maharashtra + 44 more",21 years old,5k-10k Employees (India)
99,Oyo Rooms,3.5,(3.1k Reviews),,Private,"Gurgaon,Haryana + 102 more",9 years old,1k-5k Employees (India)
100,JLL,4.3,(2.9k Reviews),,Private,"Mumbai,Maharashtra + 59 more",25 years old,10k-50k Employees (India)
101,Oracle,3.9,(3.6k Reviews),,Public,"Austin,Texas + 31 more",45 years old,10k-50k Employees (India)
102,Hero MotoCorp,4.3,(2.9k Reviews),,Public,"Gurgaon/Gurugram,Haryana + 258 more",38 years old,5k-10k Employees (India)
103,JSW Steel,3.9,(4.2k Reviews),,Public,"Mumbai,Maharashtra + 88 more",40 years old,10k-50k Employees (India)
104,Hexaware Technol...,3.8,(2.9k Reviews),,Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India)
105,TATA Steel,4.1,(4.3k Reviews),,Public,"Mumbai,Maharashtra + 119 more",115 years old,10k-50k Employees (India)
106,Hyundai Motor,4.1,(3.8k Reviews),,Private,Seoul + 218 more,55 years old,5k-10k Employees (India)
107,Bosch,4.3,(3.7k Reviews),,Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India)
108,JustDial,3.6,(2.7k Reviews),,Public,"Mumbai,Maharashtra + 122 more",26 years old,10k-50k Employees (India)
109,Atos Syntel,3.8,(4.4k Reviews),,Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
110,iEnergizer,3.5,(2.6k Reviews),,Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
111,Quess,3.9,(7.8k Reviews),,Public,Bangalore + 308 more,15 years old,10k-50k Employees (India)
112,Megha Engineerin...,4.2,(2.5k Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 188 more",33 years old,1k-5k Employees (India)
113,Dell,4.2,(3.6k Reviews),,Private,"Round Rock,Texas + 84 more",38 years old,50k-1 Lakh Employees (India)
114,Viatris,4.3,(2.5k Reviews),,,"Canonsburg,Pennsylvania + 61 more",None,61 years old
115,Godrej & Boyce M...,3.9,(2.5k Reviews),,Private,"Mumbai,Maharashtra + 121 more",125 years old,10k-50k Employees (India)
116,BNY Mellon,4.2,(2.5k Reviews),,Private,"New York City,New York + 9 more",18 years old,10k-50k Employees (India)
117,L&T Construction,4.2,(3.5k Reviews),,Public,Chennai + 254 more,78 years old,10k-50k Employees (India)
118,Omega Healthcare,3.8,(2.5k Reviews),,Private,Florida + 27 more,18 years old,1k-5k Employees (India)
119,SBI Cards & Paym...,3.8,(2.4k Reviews),,Public,"Gurgaon/Gurugram,Haryana + 229 more",24 years old,5k-10k Employees (India)
120,Fullerton India,4.2,(2.4k Reviews),,Private,Mumbai + 390 more,15 years old,10k-50k Employees (India)
121,Cgi Group,4.2,(2.5k Reviews),,Private,"Montreal,Quebec + 15 more",31 years old,10k-50k Employees (India)
122,Aditya Birla Fas...,4.3,(2.8k Reviews),,Private,Mumbai + 194 more,7 years old,10k-50k Employees (India)
123,UnitedHealth,4.2,(4.3k Reviews),,Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
124,Manappuram Finan...,4,(3.1k Reviews),,Public,"Thrissur/Trichur,Kerala + 360 more",73 years old,10k-50k Employees (India)
125,D Mart,4,(2.4k Reviews),,Private,"Mumbai,Maharashtra + 152 more",22 years old,5k-10k Employees (India)
126,IQVIA,4.2,(2.4k Reviews),,Partnership,Durham + 38 more,40 years old,10k-50k Employees (India)
127,Axis Direct,4,(2.3k Reviews),,Private,"San Mateo,California + 265 more",11 years old,1k-5k Employees (India)
128,Dominos Pizza,4.1,(2.3k Reviews),,Public,"Ypsilanti,Michigan + 198 more",62 years old,1k-5k Employees (India)
129,Nagarjuna Constr...,4.2,(2.4k Reviews),,Public,"Hyderabad/Secunderabad,Telangana + 176 more",24 years old,1k-5k Employees (India)
130,CBRE,4.3,(2.3k Reviews),,Private,"Los Angeles,California + 52 more",116 years old,10k-50k Employees (India)
131,Wipro Consumer ...,3.8,(2.9k Reviews),,Private,"Bangalore/Bengaluru,Karnataka + 70 more",77 years old,1k-5k Employees (India)
132,Equitas Small Fi...,4.2,(2.3k Reviews),,Private,"Chennai,Tamil Nadu + 285 more",15 years old,1k-5k Employees (India)
133,Royal Enfield,4.2,(2.3k Reviews),,Private,"Gurgaon/Gurugram,Haryana + 228 more",67 years old,5k-10k Employees (India)
134,JBM Group,4.1,(2.8k Reviews),,Public,"Gurgaon/Gurugram,Haryana + 72 more",39 years old,1k-5k Employees (India)
135,Nagarro,4.6,(2.2k Reviews),,Private,"Munich,Bavaria + 29 more",26 years old,5k-10k Employees (India)
136,State Bank of In...,3.9,(2.2k Reviews),,"Mumbai,Maharashtra + 332 more",216 years old,1 Lakh+ Employees (India),None
137,Tata Communicati...,4.2,(3k Reviews),,Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
138,Bajaj Auto,4.1,(5.9k Reviews),,Public,"Pune,Maharashtra + 197 more",77 years old,201-500 Employees (India)
139,ICICI Lombard Ge...,3.9,(2.2k Reviews),,Public,"Mumbai,Maharashtra + 193 more",21 years old,5k-10k Employees (India)
140,Muthoot Fincorp,4,(2.2k Reviews),,Private,"Trivandrum/Thiruvananthapuram,Kerala + 410 more",135 years old,10k-50k Employees (India)
141,Amdocs,4.1,(2.2k Reviews),,Private,"Chesterfield,Missouri + 12 more",40 years old,10k-50k Employees (India)
142,UST,4.1,(2.4k Reviews),,Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India)
143,Bosch Global Sof...,4.2,(2.2k Reviews),,Private,Gerlingen + 19 more,32 years old,10k-50k Employees (India)
144,Flex,4.2,(2.2k Reviews),,Private,San Jose + 35 more,53 years old,10k-50k Employees (India)
145,LG Electronics,4.1,(2.2k Reviews),,Public,"Seoul,Seoul + 183 more",64 years old,5k-10k Employees (India)
146,John Deere,4.4,(2.4k Reviews),,Private,"Moline,Illinois + 94 more",21 years old,1k-5k Employees (India)
147,L&T Financial Se...,4,(2.1k Reviews),,Public,"Mumbai,Maharashtra + 371 more",28 years old,10k-50k Employees (India)
148,Motherson Sumi S...,3.9,(3.5k Reviews),,Public,"Noida,Uttar Pradesh + 61 more",36 years old,1k-5k Employees (India)
149,Ford Motor,4.5,(2.5k Reviews),,Public,"Dearborn,Michigan + 100 more",119 years old,5k-10k Employees (India)
150,Whitehat jr,3.8,(2.1k Reviews),,Private,"Mumbai,Maharashtra + 44 more",4 years old,5k-10k Employees (India)
151,Hetero Drugs,4,(2.5k Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 31 more",29 years old,1k-5k Employees (India)
152,Sodexo,4.1,(2.2k Reviews),,Private,Issy Les Moulineaux + 105 more,14 years old,10k-50k Employees (India)
153,Ecom Express,4.3,(2.1k Reviews),,Private,"Gurgaon,Haryana + 453 more",10 years old,10k-50k Employees (India)
154,Alembic Pharmace...,4.1,(2.1k Reviews),,Public,"Vadodara/Baroda,Gujrat + 117 more",115 years old,5k-10k Employees (India)
155,Indiamart Interm...,3.8,(2.1k Reviews),,Private,"Noida,Uttar Pradesh + 96 more",26 years old,10k-50k Employees (India)
156,KEC Internationa...,4.2,(2.1k Reviews),,Public,"Mumbai,Maharashtra + 201 more",77 years old,5k-10k Employees (India)
157,SBI Life Insuran...,3.8,(2.1k Reviews),,Public,"Mumbai,Maharashtra + 405 more",21 years old,10k-50k Employees (India)
158,Abbott Healthcar...,4.2,(3.4k Reviews),,Public,"Illinois City,Illinois + 138 more",31 years old,10k-50k Employees (India)
159,Cholamandalam In...,4.3,(2.1k Reviews),,Private,"Chennai,Tamil Nadu + 464 more",44 years old,1k-5k Employees (India)
160,Schneider Electr...,4.2,(3.7k Reviews),,Private,Paris + 65 more,23 years old,10k-50k Employees (India)
161,BigBasket,4.2,(2.1k Reviews),,Private,"Bangalore,Karnataka + 73 more",11 years old,5k-10k Employees (India)
162,Hindustan Coca C...,4.4,(2k Reviews),,Private,Bangalore + 164 more,25 years old,1k-5k Employees (India)
163,Simplex Infrastr...,3.7,(2.2k Reviews),,Public,"Kolkata,West Bengal + 121 more",98 years old,1k-5k Employees (India)
164,GlobalLogic,4,(2k Reviews),,Private,"San Jose,California + 25 more",22 years old,5k-10k Employees (India)
165,Thermax,4.3,(2.3k Reviews),,Public,"Pune,Maharashtra + 117 more",42 years old,1k-5k Employees (India)
166,Subros,4,(2k Reviews),,Public,"Noida,Uttar Pradesh + 32 more",37 years old,1k-5k Employees (India)
167,Muthoot Group,3.7,(4.4k Reviews),,Public,"Wedel,Schleswig-holstein + 320 more",135 years old,1k-5k Employees (India)
168,Intas Pharmaceut...,4.3,(2k Reviews),,Private,"Ahmedabad,Gujrat + 95 more",22 years old,5k-10k Employees (India)
169,Wipro Enterprise...,3.8,(2k Reviews),,Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),None
170,Arvind Group,4.1,(2.2k Reviews),,Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
171,Gati kwe,4.1,(2k Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India)
172,Muthoot Finance,3.6,(2k Reviews),,Public,"Kochi/Cochin,Kerala + 381 more",83 years old,10k-50k Employees (India)
173,NatWest Group,4.1,(1.9k Reviews),,Chennai + 18 more,10k-50k Employees (India),None,None
174,VE Commercial Ve...,4,(1.9k Reviews),,Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India)
175,Varun Beverages,4,(1.9k Reviews),,Public,"Gurgaon/Gurugram,Haryana + 184 more",27 years old,5k-10k Employees (India)
176,Shoppers Stop,4.3,(2.1k Reviews),,Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
177,Atos,3.8,(6.3k Reviews),,Private,"Vilnius,Vilniaus Apskritis + 31 more",25 years old,10k-50k Employees (India)
178,Macleods Pharmac...,4,(1.9k Reviews),,Public,"Mumbai,Maharashtra + 73 more",36 years old,5k-10k Employees (India)
179,Cummins,4.4,(1.9k Reviews),,"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),None
180,Indian Air Force,4.6,(1.9k Reviews),,Private,"New Delhi,Delhi + 97 more",90 years old,1 Lakh+ Employees (India)
181,Suzlon Group,4.2,(1.9k Reviews),,Public,"Pune,Maharashtra + 84 more",27 years old,5k-10k Employees (India)
182,Optum,4.1,(1.9k Reviews),,Private,Minnesota + 19 more,45 years old,50k-1 Lakh Employees (India)
183,Virtusa Consulti...,3.8,(1.9k Reviews),,Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
184,American Express,4.4,(2k Reviews),,Private,"New York City,New York + 33 more",172 years old,10k-50k Employees (India)
185,CMS IT Services,3.2,(1.9k Reviews),,Private,"Bangalore,Karnataka + 114 more",8 years old,5k-10k Employees (India)
186,Glenmark Pharmac...,4.2,(1.9k Reviews),,Public,"Mumbai,Maharashtra + 106 more",45 years old,5k-10k Employees (India)
187,McDonald's,4.3,(1.9k Reviews),,Private,"Chicago,Illinois + 117 more",67 years old,5k-10k Employees (India)
188,Bel,4.2,(1.9k Reviews),,Private,"Bangalore/Bengaluru,Karnataka + 29 more",68 years old,5k-10k Employees (India)
189,DTDC Express,4,(1.9k Reviews),,Private,"Bangalore/Bengaluru,Karnataka + 185 more",32 years old,1k-5k Employees (India)
190,ABB Group,4.1,(1.9k Reviews),,Public,Zurich + 84 more,21 years old,5k-10k Employees (India)
191,Randstad,4.1,(1.9k Reviews),,Private,"Chennai,Tamil Nadu + 200 more",30 years old,1k-5k Employees (India)
192,Deutsche Bank,4.3,(1.9k Reviews),,Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
193,Alkem Laboratori...,4.1,(1.9k Reviews),,Public,"Mumbai,Maharashtra + 115 more",49 years old,10k-50k Employees (India)
194,Lava Internation...,4.2,(1.8k Reviews),,Public,"Noida,Uttar Pradesh + 202 more",13 years old,1k-5k Employees (India)
195,Honda Motorcycle...,4.2,(1.8k Reviews),,Private,"Gurgaon/Gurugram,Haryana + 162 more",23 years old,5k-10k Employees (India)
196,Standard Charter...,4.2,(4.3k Reviews),,Private,London + 57 more,53 years old,5k-10k Employees (India)
197,Swiggy,4.2,(1.8k Reviews),,Private,"Bangalore,Karnataka + 129 more",8 years old,1k-5k Employees (India)
198,Reliance Nippon ...,3.9,(1.8k Reviews),,Private,"Mumbai,Maharashtra + 376 more",22 years old,10k-50k Employees (India)
199,Havells,4.2,(2k Reviews),,Public,"Noida,Uttar Pradesh + 118 more",39 years old,5k-10k Employees (India)
200,Pidilite Industr...,4.4,(1.9k Reviews),,Public,"Mumbai,Maharashtra + 167 more",63 years old,5k-10k Employees (India)
201,KocharTech,4.5,(1.8k Reviews),,Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,501-1k Employees (India)
202,Ipca Laboratorie...,4.1,(1.8k Reviews),,Public,"Mumbai,Maharashtra + 97 more",73 years old,5k-10k Employees (India)
203,Piramal Capital ...,4.3,(1.8k Reviews),,Mumbai + 217 more,4 years old,5k-10k Employees (India),None
204,DCB Bank,4,(1.8k Reviews),,Private,"Mumbai,Maharashtra + 232 more",92 years old,5k-10k Employees (India)
205,Bajaj Electrical...,4.1,(1.8k Reviews),,Public,"Mumbai,Maharashtra + 160 more",84 years old,5k-10k Employees (India)
206,Indian Oil Corpo...,4.4,(2k Reviews),,Private,"Delhi/NCR,Delhi + 175 more",63 years old,10k-50k Employees (India)
207,24/7 Customer,3.6,(1.8k Reviews),,Private,"San Jose,California + 20 more",22 years old,5k-10k Employees (India)
208,Conduent,3.7,(1.8k Reviews),,Private,"Florham Park,New Jersey + 19 more",5 years old,5k-10k Employees (India)
209,Titan Company,4.4,(1.7k Reviews),,Public,"Mumbai,Maharashtra + 120 more",4 years old,5k-10k Employees (India)
210,Future Retail,4.3,(4.4k Reviews),,Public,"San Francisco,California + 185 more",35 years old,10k-50k Employees (India)
211,Maersk,4.4,(1.7k Reviews),,Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India)
212,Tata Teleservice...,4.2,(1.7k Reviews),,Public,"Mumbai,Maharashtra + 152 more",26 years old,201-500 Employees (India)
213,MRF Tyres,3.7,(1.8k Reviews),,Public,"Chennai,Tamil Nadu + 158 more",76 years old,10k-50k Employees (India)
214,Hindalco Industr...,4.3,(1.7k Reviews),,Public,"Mumbai,Maharashtra + 64 more",64 years old,10k-50k Employees (India)
215,PepsiCo,4.1,(1.8k Reviews),,Private,"Harrison,New York + 200 more",33 years old,1 Lakh+ Employees (India)
216,State Street Syn...,3.8,(1.7k Reviews),,Private,Mumbai + 12 more,18 years old,501-1k Employees (India)
217,Tractors and Far...,4.2,(1.7k Reviews),,Public,"Chennai,Tamil Nadu + 131 more",62 years old,5k-10k Employees (India)
218,CARS24,3.8,(1.7k Reviews),,Private,"Gurgaon,Haryana + 133 more",7 years old,5k-10k Employees (India)
219,Huawei Technolog...,3.8,(1.7k Reviews),,Private,"Gurgaon/Gurugram,Haryana + 88 more",20 years old,5k-10k Employees (India)
220,Jindal Steel and...,4,(2k Reviews),,Private,"Delhi/NCR,New Delhi + 88 more",70 years old,5k-10k Employees (India)
221,Team Lease,4.1,(1.7k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 186 more",6 years old,1k-5k Employees (India)
222,Torrent Pharmace...,4.1,(1.7k Reviews),,Public,"Ahmedabad,Gujrat + 86 more",51 years old,10k-50k Employees (India)
